N,O,17,21168.23,20321.500799999998,20727.930816,17,21168.23,0.04,1
N,O,53,67151.39,62166.1764,65083.286952,26,33575.695,0.065,2
N,O,61,80460.99,74144.8164,77301.499752,20,26820.33,0.07666666666666667,3
N,O,89,109416.63,100494.4488,105232.110096,22,27354.1575,0.08,4
N,O,113,132241.11000000002,121036.48079999999,126595.823376,22,26448.222,0.084,5
N,O,145,181861.27000000002,167183.2296,173665.507152,24,30310.21166666667,0.08166666666666668,6
N,O,183,226555.73,211877.68959999998,220594.690152,26,32365.104285714286,0.07,7
N,O,213,257246.63,241647.8626,252746.476992,26,32155.82875,0.065,8
N,O,225,270855.23,254303.86059999999,265782.15493200003,25,30095.025555555552,0.06555555555555556,9
N,O,234,282449.38999999996,264970.4878,277302.11230800004,23,28244.938999999995,0.067,10
N,O,280,364089.26999999996,338446.3798,355921.31674800004,25,33099.024545454544,0.07,11
N,O,308,395899.23,369302.04099999997,388011.204396,25,32991.6025,0.06666666666666667,12
N,O,346,469843.05,437330.3554,456719.80194000003,26,36141.77307692308,0.06769230769230769,13
N,O,381,512901.8,477805.5804,498409.28369,27,36635.84285714286,0.06714285714285714,14
N,O,386,519377.95,484022.68439999997,504750.72977000003,25,34625.19666666667,0.06533333333333333,15
N,O,414,566605.55,528888.9044,553206.24737,25,35412.846875,0.064375,16
N,O,446,631210.99,592202.2356,616519.57857,26,37130.05823529412,0.061764705882352944,17
N,O,448,633421.3099999999,594213.6268,618571.197594,24,35190.07277777777,0.06333333333333334,18
N,O,452,640004.2699999999,600204.1204,624741.406002,23,33684.43526315789,0.06473684210526316,19
A,F,27,39890.88,37497.4272,40122.247104,27,39890.88,0.06,1
A,F,29,42509.64,40089.999599999996,42870.373848,14,21254.82,0.034999999999999996,2
A,F,55,71243.28,65950.2756,69247.855368,18,23747.76,0.056666666666666664,3
A,F,105,144669.78,133502.6556,138826.806768,26,36167.445,0.0625,4
A,F,142,206668.09,190541.10080000001,197576.40532400002,28,41333.618,0.066,5
A,F,173,246885.32,227138.78010000003,235637.99179600002,28,41147.55333333334,0.07,6
A,F,205,294229.64,273536.2137,284355.297076,29,42032.805714285714,0.06285714285714286,7
A,F,210,301761.94,280691.8987,291725.652626,26,37720.2425,0.061250000000000006,8
A,F,250,363867.14,337207.63070000004,349936.856586,27,40429.682222222225,0.06444444444444446,9
A,F,289,434409.56,404222.92970000004,418292.461566,28,43440.956,0.06300000000000001,10
A,F,332,512493.26,478402.44470000005,498406.337766,30,46590.296363636364,0.061818181818181835,11
A,F,358,555489.2,520108.5065000001,541363.5814200001,29,46290.76666666666,0.05916666666666668,12
